"customer_id","product_id","order_id","order_details_id","quantity","order_discount","order_profits","order_profit_ratio","order_sales","order_date","shipping_city","shipping_state","shipping_region","shipping_country","shipping_postal_code","shipping_date","shipping_mode","product_name","product_category","product_subcategory","product_manufacturer","customer_name","customer_segment"
"91","122","CA-2015-100004","1","62","0.1","327","0.39","837","2015-09-06 00:00:00","New York City","New York","East","United States","10011","2015-09-06 00:00:00","Same Day","Alphabetical Labels for Top Tab Filing","Office Supplies","Labels","Other","Bill Shonely","Corporate"
"91","764","CA-2015-100004","2","18","0.2","565","0.26","2174","2015-09-06 00:00:00","New York City","New York","East","United States","10011","2015-09-06 00:00:00","Same Day","Global Manager's Adjustable Task Chair, Storm","Furniture","Chairs","Global","Bill Shonely","Corporate"
"224","161","CA-2015-100006","3","3","0","110","0.29","378","2015-09-07 00:00:00","New York City","New York","East","United States","10024","2015-09-13 00:00:00","Standard Class","AT&T EL51110 DECT","Technology","Phones","AT&T","Dennis Kane","Consumer"
"62","122","CA-2015-100032","4","53","0.1","272","0.38","715","2015-09-07 00:00:00","New York City","New York","East","United States","10025","2015-09-13 00:00:00","Standard Class","Alphabetical Labels for Top Tab Filing","Office Supplies","Labels","Other","Arthur Wiediger","Home Office"
"62","1342","CA-2015-100032","5","23","0.1","96","0.31","311","2015-09-07 00:00:00","New York City","New York","East","United States","10025","2015-09-13 00:00:00","Standard Class","Recycled Premium Regency Composition Covers","Office Supplies","Binders","Other","Arthur Wiediger","Home Office"
"62","613","CA-2015-100032","6","16","0.1","407","0.27","1506","2015-09-07 00:00:00","New York City","New York","East","United States","10025","2015-09-13 00:00:00","Standard Class","Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red","Office Supplies","Appliances","Eureka","Arthur Wiediger","Home Office"
"311","812","CA-2015-100051","7","79","0.2","318","0.35","909","2015-09-06 00:00:00","New York City","New York","East","United States","10011","2015-09-12 00:00:00","Standard Class","Holmes Odor Grabber","Office Supplies","Appliances","Holmes","Greg Matthias","Consumer"
"246","1648","CA-2015-100090","8","6","0.2","69","0.35","197","2015-07-08 00:00:00","San Francisco","California","West","United States","94122","2015-07-12 00:00:00","Standard Class","Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue","Office Supplies","Binders","Wilson Jones","Ed Braxton","Corporate"
"246","819","CA-2015-100090","9","3","0.2","-88","-0.18","502","2015-07-08 00:00:00","San Francisco","California","West","United States","94122","2015-07-12 00:00:00","Standard Class","Hon 2111 Invitation Series Corner Table","Furniture","Tables","Hon","Ed Braxton","Corporate"
"388","920","CA-2015-100136","10","130","0.3","1399","0.41","3413","2015-09-05 00:00:00","New York City","New York","East","United States","10011","2015-09-11 00:00:00","Standard Class","Imation Clip USB flash drive - 8 GB","Technology","Accessories","Imation","John Lee","Consumer"
"388","1216","CA-2015-100136","11","94","0.1","64","0.21","305","2015-09-05 00:00:00","New York City","New York","East","United States","10011","2015-09-11 00:00:00","Standard Class","OIC Binder Clips","Office Supplies","Fasteners","Other","John Lee","Consumer"
"388","122","CA-2015-100136","12","143","0.1","734","0.38","1931","2015-09-05 00:00:00","New York City","New York","East","United States","10011","2015-09-11 00:00:00","Standard Class","Alphabetical Labels for Top Tab Filing","Office Supplies","Labels","Other","John Lee","Consumer"
"388","1507","CA-2015-100136","13","324","0.2","114","0.22","518","2015-09-05 00:00:00","New York City","New York","East","United States","10011","2015-09-11 00:00:00","Standard Class","Staples","Office Supplies","Fasteners","Other","John Lee","Consumer"
"388","1600","CA-2015-100136","14","216","0.1","264","0.34","778","2015-09-05 00:00:00","New York City","New York","East","United States","10011","2015-09-11 00:00:00","Standard Class","Unpadded Memo Slips","Office Supplies","Paper","Other","John Lee","Consumer"
"564","1677","CA-2015-100293","15","6","0.2","32","0.35","91","2015-03-14 00:00:00","Jacksonville","Florida","South","United States","32216","2015-03-18 00:00:00","Standard Class","Xerox 1887","Office Supplies","Paper","Xerox","Neil Französisch","Home Office"
"355","1313","CA-2015-100328","16","1","0.2","1","0.34","4","2015-01-28 00:00:00","New York City","New York","East","United States","10024","2015-02-03 00:00:00","Standard Class","Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue","Office Supplies","Binders","Pressboard","Jasper Cacioppo","Consumer"
"376","326","CA-2015-100363","17","2","0.2","1","0.35","2","2015-04-08 00:00:00","Glendale","Arizona","West","United States","85301","2015-04-15 00:00:00","Standard Class","Binder Clips by OIC","Office Supplies","Fasteners","OIC","Jim Mitchum","Corporate"
"376","1568","CA-2015-100363","18","3","0.2","7","0.36","19","2015-04-08 00:00:00","Glendale","Arizona","West","United States","85301","2015-04-15 00:00:00","Standard Class","Things To Do Today Spiral Book","Office Supplies","Paper","Things To Do","Jim Mitchum","Corporate"
"71","1523","CA-2015-100391","19","2","0","7","0.46","15","2015-05-25 00:00:00","New York City","New York","East","United States","10035","2015-05-29 00:00:00","Standard Class","Strathmore Photo Frame Cards","Office Supplies","Paper","Strathmore","Barry Weirich","Consumer"
"447","1306","CA-2015-100678","20","2","0.2","1","0.38","3","2015-04-18 00:00:00","Houston","Texas","Central","United States","77095","2015-04-22 00:00:00","Standard Class","Prang Dustless Chalk Sticks","Office Supplies","Art","Prang","Kunst Miller","Consumer"
"447","396","CA-2015-100678","21","3","0.2","50","0.34","149","2015-04-18 00:00:00","Houston","Texas","Central","United States","77095","2015-04-22 00:00:00","Standard Class","Cameo Buff Policy Envelopes","Office Supplies","Envelopes","Other","Kunst Miller","Consumer"
"447","956","CA-2015-100678","22","3","0.2","28","0.13","228","2015-04-18 00:00:00","Houston","Texas","Central","United States","77095","2015-04-22 00:00:00","Standard Class","Kensington Expert Mouse Optical USB Trackball for PC or Mac","Technology","Accessories","Kensington","Kunst Miller","Consumer"
"447","529","CA-2015-100678","23","3","0.3","-18","-0.06","317","2015-04-18 00:00:00","Houston","Texas","Central","United States","77095","2015-04-22 00:00:00","Standard Class","DMI Arturo Collection Mission-style Design Wood Chair","Furniture","Chairs","DMI","Kunst Miller","Consumer"
"453","1595","CA-2015-100706","24","6","0","10","0.33","29","2015-12-16 00:00:00","Springfield","Virginia","South","United States","22153","2015-12-18 00:00:00","Second Class","Ultra Door Push Plate","Furniture","Furnishings","Ultra","Laurel Elliston","Consumer"
"453","421","CA-2015-100706","25","2","0","8","0.08","100","2015-12-16 00:00:00","Springfield","Virginia","South","United States","22153","2015-12-18 00:00:00","Second Class","Case Logic 2.4GHz Wireless Keyboard","Technology","Accessories","Other","Laurel Elliston","Consumer"
"556","97","CA-2015-100762","26","2","0","8","0.5","16","2015-11-24 00:00:00","Jackson","Michigan","Central","United States","49201","2015-11-29 00:00:00","Standard Class","Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book","Office Supplies","Paper","Adams","Nat Gilpin","Corporate"
"556","1675","CA-2015-100762","27","3","0","69","0.48","144","2015-11-24 00:00:00","Jackson","Michigan","Central","United States","49201","2015-11-29 00:00:00","Standard Class","Xerox 1885","Office Supplies","Paper","Xerox","Nat Gilpin","Corporate"
"556","889","CA-2015-100762","28","4","0","46","0.3","152","2015-11-24 00:00:00","Jackson","Michigan","Central","United States","49201","2015-11-29 00:00:00","Standard Class","Hunt PowerHouse Electric Pencil Sharpener, Blue","Office Supplies","Art","Hunt","Nat Gilpin","Corporate"
"556","532","CA-2015-100762","29","2","0","96","0.49","197","2015-11-24 00:00:00","Jackson","Michigan","Central","United States","49201","2015-11-29 00:00:00","Standard Class","Dot Matrix Printer Tape Reel Labels, White, 5000/Box","Office Supplies","Labels","Other","Nat Gilpin","Corporate"
"166","1462","CA-2015-100860","30","5","0","9","0.48","19","2015-03-26 00:00:00","Pomona","California","West","United States","91767","2015-03-30 00:00:00","Second Class","Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set","Office Supplies","Labels","Smead","Cindy Stewart","Consumer"
"274","1335","CA-2015-100867","31","6","0.2","20","0.06","322","2015-10-19 00:00:00","Lakewood","California","West","United States","90712","2015-10-24 00:00:00","Standard Class","RCA Visys Integrated PBX 8-Line Router","Technology","Phones","RCA","Eugene Hildebrand","Home Office"
"195","163","CA-2015-100881","32","3","0.2","23","0.08","302","2015-03-28 00:00:00","Albuquerque","New Mexico","West","United States","87105","2015-04-01 00:00:00","Standard Class","AT&T TR1909W","Technology","Phones","AT&T","Daniel Raglin","Home Office"
